Date,Flow,Local,Mainland,Others
4/21/2021,Departure,1386,115,16
4/22/2021,Arrival,1356,95,15
4/22/2021,Departure,1421,82,35
4/23/2021,Arrival,1612,71,35
4/23/2021,Departure,1826,109,86
4/24/2021,Arrival,1245,118,19
4/24/2021,Departure,1365,105,18
4/25/2021,Arrival,1854,141,36
4/25/2021,Departure,1549,99,27
4/26/2021,Arrival,924,77,16
4/26/2021,Departure,1453,83,31
4/27/2021,Arrival,1209,82,14
4/27/2021,Departure,1593,107,39
4/28/2021,Arrival,1532,92,14
4/28/2021,Departure,1445,80,24
4/29/2021,Arrival,1819,146,20
4/29/2021,Departure,1469,130,40
4/30/2021,Arrival,2328,97,27
4/30/2021,Departure,2206,96,34
5/1/2021,Arrival,1395,100,12
5/1/2021,Departure,1991,106,16
5/2/2021,Arrival,1930,127,28
5/2/2021,Departure,1802,90,38
5/3/2021,Arrival,965,71,14
5/3/2021,Departure,1254,73,25
5/4/2021,Arrival,972,74,22
5/4/2021,Departure,1764,88,21
5/5/2021,Arrival,1312,64,12
5/5/2021,Departure,1467,101,25
5/6/2021,Arrival,1006,94,12
5/6/2021,Departure,1899,113,24
5/7/2021,Arrival,1708,103,40
5/7/2021,Departure,1939,170,68
5/8/2021,Arrival,1598,106,11
5/8/2021,Departure,1985,101,17
5/9/2021,Arrival,1879,96,75
5/9/2021,Departure,1684,107,48
5/10/2021,Arrival,1316,65,46
5/10/2021,Departure,1812,96,31
5/11/2021,Arrival,1215,58,22
5/11/2021,Departure,1889,157,34
5/12/2021,Arrival,1582,132,24
5/12/2021,Departure,1748,175,12
5/13/2021,Arrival,1215,68,18
5/13/2021,Departure,1789,103,30
5/14/2021,Arrival,1640,105,40
5/14/2021,Departure,2059,109,49
5/15/2021,Arrival,1930,163,27
5/15/2021,Departure,2294,158,34
5/16/2021,Arrival,1909,168,24
5/16/2021,Departure,2033,129,72
5/17/2021,Arrival,1104,202,14
5/17/2021,Departure,1659,113,73
5/18/2021,Arrival,1256,170,24
5/18/2021,Departure,2244,202,85
5/19/2021,Arrival,1851,119,27
5/19/2021,Departure,1647,145,32
5/20/2021,Arrival,1470,104,64
5/20/2021,Departure,1814,105,62
5/21/2021,Arrival,1846,114,13
5/21/2021,Departure,1898,126,27
5/22/2021,Arrival,2036,152,10
5/22/2021,Departure,1902,113,24
5/23/2021,Arrival,1648,144,21
5/23/2021,Departure,1586,90,35
5/24/2021,Arrival,1379,88,9
5/24/2021,Departure,1389,79,23
5/25/2021,Arrival,1574,119,4
5/25/2021,Departure,1947,130,50
5/26/2021,Arrival,1990,129,30
5/26/2021,Departure,1515,109,49
5/27/2021,Arrival,1260,147,49
5/27/2021,Departure,1683,97,86
5/28/2021,Arrival,2276,147,27
5/28/2021,Departure,1951,115,39
5/29/2021,Arrival,1978,139,18
5/29/2021,Departure,1784,128,20
5/30/2021,Arrival,2015,137,29
5/30/2021,Departure,1898,116,58
5/31/2021,Arrival,1473,85,8
5/31/2021,Departure,1838,91,36
6/1/2021,Arrival,1410,144,23
6/1/2021,Departure,2685,129,62
6/2/2021,Arrival,1949,107,29
6/2/2021,Departure,1636,125,26
6/3/2021,Arrival,1443,154,18
6/3/2021,Departure,2167,164,27
6/4/2021,Arrival,1684,111,17
6/4/2021,Departure,1903,142,33
6/5/2021,Arrival,1870,166,17
6/5/2021,Departure,1833,147,27
6/6/2021,Arrival,1873,322,29
6/6/2021,Departure,1702,131,33
6/7/2021,Arrival,1149,98,9
6/7/2021,Departure,1467,87,25
6/8/2021,Arrival,1486,125,6
6/8/2021,Departure,1697,117,39
6/9/2021,Arrival,1639,109,20
6/9/2021,Departure,1440,122,15
6/10/2021,Arrival,1464,135,30
6/10/2021,Departure,2135,160,33
6/11/2021,Arrival,1868,138,12
6/11/2021,Departure,2353,125,48
6/12/2021,Arrival,1570,331,10
6/12/2021,Departure,2032,231,23
6/13/2021,Arrival,1783,182,15
6/13/2021,Departure,1789,106,35
6/14/2021,Arrival,905,75,10
6/14/2021,Departure,1187,74,22
6/15/2021,Arrival,1341,87,10
6/15/2021,Departure,2004,120,41
6/16/2021,Arrival,1650,101,16
6/16/2021,Departure,1590,145,25
6/17/2021,Arrival,1351,104,19
6/17/2021,Departure,2194,85,35
6/18/2021,Arrival,1674,113,26
6/18/2021,Departure,2460,142,29
6/19/2021,Arrival,1756,162,15
6/19/2021,Departure,2413,126,27
6/20/2021,Arrival,2522,156,34
6/20/2021,Departure,2006,353,28
6/21/2021,Arrival,1460,85,18
6/21/2021,Departure,1573,162,15
6/22/2021,Arrival,1563,153,20
6/22/2021,Departure,1863,151,37
6/23/2021,Arrival,1653,145,34
6/23/2021,Departure,1515,122,42
6/24/2021,Arrival,1337,110,21
6/24/2021,Departure,2183,123,31
6/25/2021,Arrival,1799,106,21
6/25/2021,Departure,2587,166,45
6/26/2021,Arrival,1689,151,31
6/26/2021,Departure,2394,197,38
6/27/2021,Arrival,2176,149,14
6/27/2021,Departure,2086,152,19
6/28/2021,Arrival,1418,110,12
6/28/2021,Departure,1819,89,40
6/29/2021,Arrival,1872,143,22
6/29/2021,Departure,2327,140,35
6/30/2021,Arrival,3000,140,24
6/30/2021,Departure,2453,169,36
7/1/2021,Arrival,1640,151,27
7/1/2021,Departure,2720,164,38
7/2/2021,Arrival,1663,166,19
7/2/2021,Departure,2816,129,40
7/3/2021,Arrival,1558,168,25
7/3/2021,Departure,2283,204,27
7/4/2021,Arrival,1995,212,22
7/4/2021,Departure,2559,188,42
7/5/2021,Arrival,1722,147,7
7/5/2021,Departure,2351,162,17
7/6/2021,Arrival,1782,141,12
7/6/2021,Departure,2672,143,21
7/7/2021,Arrival,1760,180,16
7/7/2021,Departure,2269,199,18
7/8/2021,Arrival,1560,145,16
7/8/2021,Departure,2789,225,35
7/9/2021,Arrival,1905,168,25
7/9/2021,Departure,3159,252,31
7/10/2021,Arrival,1876,198,13
7/10/2021,Departure,3172,246,20
7/11/2021,Arrival,2769,231,28
7/11/2021,Departure,3285,223,33
7/12/2021,Arrival,2039,144,10
7/12/2021,Departure,3042,195,19
7/13/2021,Arrival,2056,175,28
7/13/2021,Departure,3531,308,26
7/14/2021,Arrival,2057,183,26
7/14/2021,Departure,3403,334,21
7/15/2021,Arrival,2338,212,34
7/15/2021,Departure,4238,306,23
7/16/2021,Arrival,2182,207,23
7/16/2021,Departure,4182,344,39
7/17/2021,Arrival,1764,178,22
7/17/2021,Departure,3953,268,26
7/18/2021,Arrival,2821,218,33
7/18/2021,Departure,4178,274,34
7/19/2021,Arrival,1479,141,18
7/19/2021,Departure,3247,275,28
7/20/2021,Arrival,2134,123,21
7/20/2021,Departure,3373,273,28
7/21/2021,Arrival,1857,134,28
7/21/2021,Departure,3261,315,16
7/22/2021,Arrival,1551,153,20
7/22/2021,Departure,3537,254,32
7/23/2021,Arrival,2180,169,32
7/23/2021,Departure,3498,206,32
7/24/2021,Arrival,1743,147,25
7/24/2021,Departure,2858,173,29
7/25/2021,Arrival,2729,177,25
7/25/2021,Departure,3019,161,29
7/26/2021,Arrival,1336,110,14
7/26/2021,Departure,2427,152,12
7/27/2021,Arrival,2329,130,22
7/27/2021,Departure,2803,155,18
7/28/2021,Arrival,1934,122,19
7/28/2021,Departure,2574,150,25
7/29/2021,Arrival,2026,189,36
7/29/2021,Departure,3103,226,22
7/30/2021,Arrival,2304,146,33
7/30/2021,Departure,4499,153,39
7/31/2021,Arrival,2196,171,19
7/31/2021,Departure,3220,165,34
8/1/2021,Arrival,4093,213,36
8/1/2021,Departure,4042,195,34
8/2/2021,Arrival,1937,169,26
8/2/2021,Departure,2706,161,24
8/3/2021,Arrival,2582,183,33
8/3/2021,Departure,2982,167,35
8/4/2021,Arrival,3412,176,17
8/4/2021,Departure,3684,179,17
8/5/2021,Arrival,2382,152,23
8/5/2021,Departure,2722,179,29
8/6/2021,Arrival,3913,176,29
8/6/2021,Departure,4257,166,35
8/7/2021,Arrival,2771,224,27
8/7/2021,Departure,2946,170,29
8/8/2021,Arrival,4806,223,28
8/8/2021,Departure,3989,188,39
8/9/2021,Arrival,2309,174,34
8/9/2021,Departure,2549,184,20
8/10/2021,Arrival,3673,207,56
8/10/2021,Departure,2712,168,49
8/11/2021,Arrival,4249,192,36
8/11/2021,Departure,3479,121,22
8/12/2021,Arrival,2787,218,34
8/12/2021,Departure,2442,140,35
8/13/2021,Arrival,4320,204,37
8/13/2021,Departure,4203,114,35
8/14/2021,Arrival,3112,211,38
8/14/2021,Departure,2842,131,26
8/15/2021,Arrival,5484,207,36
8/15/2021,Departure,4167,172,32
8/16/2021,Arrival,4622,332,27
8/16/2021,Departure,2193,134,22
